season,date,match_type,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,venue,city
2022,2022-03-28,League,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,5.0,Mohammed Shami,"Wankhede Stadium, Mumbai",Mumbai
2022,2022-03-31,League,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,6.0,E Lewis,"Brabourne Stadium, Mumbai",Mumbai
2022,2022-04-02,League,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,runs,14.0,LH Ferguson,"Maharashtra Cricket Association Stadium, Pune",Pune
2022,2022-04-03,League,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,runs,54.0,LS Livingstone,"Brabourne Stadium, Mumbai",Mumbai
2022,2022-04-07,League,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,6.0,Q de Kock,"Dr DY Patil Sports Academy, Mumbai",Mumbai
2022,2022-04-08,League,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,6.0,Shubman Gill,"Brabourne Stadium, Mumbai",Mumbai
2022,2022-04-09,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,Abhishek Sharma,"Dr DY Patil Sports Academy, Mumbai",Mumbai
2022,2022-04-10,League,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,runs,44.0,Kuldeep Yadav,"Brabourne Stadium, Mumbai",Mumbai
2022,2022-04-11,League,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8.0,KS Williamson,"Dr DY Patil Sports Academy, Mumbai",Mumbai
2022,2022-04-12,League,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Chennai Super Kings,runs,23.0,S Dube,"Dr DY Patil Sports Academy, Mumbai",Mumbai
2022,2022-04-14,League,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Gujarat Titans,runs,37.0,HH Pandya,"Dr DY Patil Sports Academy, Mumbai",Mumbai
2022,2022-04-16,League,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,runs,16.0,KD Karthik,"Wankhede Stadium, Mumbai",Mumbai
2022,2022-04-17,League,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,3.0,DA Miller,"Maharashtra Cricket Association Stadium, Pune",Pune
2022,2022-04-20,League,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,9.0,Kuldeep Yadav,"Brabourne Stadium, Mumbai",Mumbai
2022,2022-04-21,League,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,3.0,Mukesh Choudhary,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai
2022,2022-04-22,League,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,15.0,JC Buttler,"Wankhede Stadium, Mumbai",Mumbai
2022,2022-04-23,League,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Gujarat Titans,runs,8.0,Rashid Khan,"Dr DY Patil Sports Academy, Mumbai",Navi Mumbai
2022,2022-04-25,League,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,runs,11.0,S Dhawan,"Wankhede Stadium, Mumbai",Mumbai
2022,2022-04-27,League,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,5.0,Umran Malik,"Wankhede Stadium, Mumbai",Mumbai
2022,2022-04-28,League,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4.0,Kuldeep Yadav,"Wankhede Stadium, Mumbai",Mumbai
