season,date,match_type,team1,team2,toss_winner,toss_decision,winner,result,result_margin,player_of_match,venue,city
2024,2024-04-28,League,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,runs,78.0,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2024,2024-04-29,League,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,7.0,CV Varun,"Eden Gardens, Kolkata",Kolkata
2024,2024-05-01,League,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,7.0,Harpreet Brar,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2024,2024-05-04,League,Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,4.0,Mohammed Siraj,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
2024,2024-05-05,League,Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,runs,28.0,RA Jadeja,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala
2024,2024-05-07,League,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,20.0,Kuldeep Yadav,"Arun Jaitley Stadium, Delhi",Delhi
2024,2024-05-10,League,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Gujarat Titans,runs,35.0,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Ahmedabad
2024,2024-05-12,League,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,wickets,5.0,Simarjeet Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai
2024,2024-05-12,League,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,runs,47.0,C Green,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
2024,2024-05-14,League,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals,runs,19.0,I Sharma,"Arun Jaitley Stadium, Delhi",Delhi
2024,2024-05-18,League,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,27.0,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",Bengaluru
